%
%
% Run:00    Table:BUOYS             SWAN version:41.20
%
%       Time               Xp            Yp            Depth       X-Windv       Y-Windv         Hsig          Dir           RTpeak        Period        Tm01          Tm02          PkDir
%       [ ]                [degr]        [degr]        [m]           [m/s]         [m/s]         [m]           [degr]        [sec]         [sec]         [sec]         [sec]         [degr]
%
20120826.140000          -87.555       30.0650       24.8846       -5.6143       -4.1502       0.67439        86.338        4.3229        2.9345        2.9345        2.4777       115.000
20120826.140000          -96.695       26.9660       85.1907       -3.7832        0.9280       0.31809       131.143        3.5727        2.6830        2.6830        2.2598       135.000
20120826.140000          -94.413       29.2320       15.3785       -3.1409       -0.2749       0.30317       157.758        3.9299        2.9672        2.9672        2.6074       165.000
20120826.140000          -84.517       28.5000       51.6082       -6.5175       -8.3128       1.32824        43.131        4.7552        3.9723        3.9723        3.4728        55.000
20120826.140000          -88.207       29.2120      293.3774       -6.6436       -5.2355       0.99218        76.708        4.7552        3.5657        3.5657        3.0412       105.000
20120826.140000          -94.000       22.2030     3498.4778       -5.8496       -2.3042       0.65717        64.472        4.3229        3.0666        3.0666        2.5836        45.000
20120826.140000          -84.857       19.8020     4540.7300        4.0702       -4.0281       1.19102         7.950        6.9621        4.8371        4.8371        3.9678         5.000
20120826.150000          -89.658       25.8880     3176.6836       -5.2471       -6.7294       1.20920        65.425        5.7538        4.0448        4.0448        3.4040        85.000
20120826.150000          -93.666       25.7900     3211.0347       -6.8945       -3.2014       0.78889        90.474        4.3229        3.1844        3.1844        2.7201       105.000
20120826.150000          -85.612       26.0440     3278.5854       -7.2399      -12.6709       2.87386        42.240        6.9621        5.9963        5.9963        5.4884        55.000
20120826.150000          -87.555       30.0650       24.8846       -5.4639       -4.3261       0.69112        86.290        4.3229        2.9993        2.9993        2.5291       105.000
20120826.150000          -96.695       26.9660       85.1907       -3.9687        0.7986       0.32813       129.109        3.5727        2.6448        2.6448        2.2130       135.000
20120826.150000          -94.413       29.2320       15.3785       -3.4353       -0.2801       0.30504       157.900        3.9299        2.9963        2.9963        2.6266       165.000
20120826.150000          -84.517       28.5000       51.6082       -6.6594       -8.3761       1.37948        42.662        5.2307        4.0628        4.0628        3.5609        45.000
20120826.150000          -88.207       29.2120      293.3774       -6.5329       -5.4953       1.03809        76.187        4.7552        3.6748        3.6748        3.1445       105.000
20120826.150000          -94.000       22.2030     3498.4778       -5.8955       -2.9566       0.68367        62.640        4.3229        3.0913        3.0913        2.6104        45.000
20120826.150000          -84.857       19.8020     4540.7300        4.4052       -3.5793       1.23237         7.301        6.9621        4.9897        4.9897        4.0861         5.000
20120826.160000          -89.658       25.8880     3176.6836       -5.1787       -7.2779       1.30863        63.490        5.7538        4.1984        4.1984        3.5530        85.000
20120826.160000          -93.666       25.7900     3211.0347       -7.1203       -3.7271       0.84321        85.086        4.3229        3.2360        3.2360        2.7607        95.000
20120826.160000          -85.612       26.0440     3278.5854       -6.8173      -12.4241       2.92930        40.799        6.9621        6.0789        6.0789        5.5939        45.000
20120826.160000          -87.555       30.0650       24.8846       -5.3134       -4.5021       0.71085        85.525        4.3229        3.0412        3.0412        2.5563       115.000
20120826.160000          -96.695       26.9660       85.1907       -4.1542        0.6693       0.34075       126.624        3.9299        2.6070        2.6070        2.1729       125.000
20120826.160000          -94.413       29.2320       15.3785       -3.7297       -0.2853       0.30978       156.880        3.9299        2.9536        2.9536        2.5450       165.000
20120826.160000          -84.517       28.5000       51.6082       -6.7134       -8.2798       1.41622        42.742        5.2307        4.1268        4.1268        3.6115        55.000
20120826.160000          -88.207       29.2120      293.3774       -6.4222       -5.7550       1.07780        75.820        5.2307        3.7512        3.7512        3.1961       105.000
20120826.160000          -94.000       22.2030     3498.4778       -5.9414       -3.6091       0.72261        60.811        4.3229        3.1093        3.1093        2.6177        45.000
20120826.160000          -84.857       19.8020     4540.7300        4.7403       -3.1305       1.26625         6.641        7.6584        5.1327        5.1327        4.2200         5.000
20120826.170000          -89.658       25.8880     3176.6836       -5.1103       -7.8262       1.41602        61.552        6.3292        4.3507        4.3507        3.6827        85.000
20120826.170000          -93.666       25.7900     3211.0347       -7.3460       -4.2526       0.91097        80.762        4.3229        3.3506        3.3506        2.8832       105.000
20120826.170000          -85.612       26.0440     3278.5854       -6.4395      -12.4151       2.95581        39.571        7.6584        6.1092        6.1092        5.5997        55.000
20120826.170000          -87.555       30.0650       24.8846       -5.1630       -4.6780       0.72370        85.387        4.3229        3.0885        3.0885        2.5939       105.000
20120826.170000          -96.695       26.9660       85.1907       -4.3398        0.5399       0.35544       123.976        3.9299        2.5844        2.5844        2.1541       135.000
20120826.170000          -94.413       29.2320       15.3785       -4.0241       -0.2905       0.32417       152.333        3.9299        2.7560        2.7560        2.2942       165.000
20120826.170000          -84.517       28.5000       51.6082       -6.9037       -8.2605       1.44689        42.812        5.2307        4.1843        4.1843        3.6687        45.000
20120826.170000          -88.207       29.2120      293.3774       -6.3114       -6.0147       1.12101        74.976        5.2307        3.8400        3.8400        3.2864       105.000
